     15 グルナス	さん
      1 ください	AFPBB
      1 くされ	て
      1 が	過ぎ
      1 が	遊ん
      1 が	自分
      1 が	肉体
      1 が	無効
      1 が	暴行
      1 が	寄せ
      1 が	実際
      1 が	女性
      1 が	唯一
      1 が	今
      1 が	まとめ
      1 が	かかっ
      1 が	ある
      1 が	あり
      1 が	10
      1 が	1
      1 から	殺害
      1 から	さらに
      1 から	10
      1 かかっ	た
      1 か	グルナス
      1 お知らせ	サイト
      1 おり	自分
      1 おそれ	非公開
      1 おく	一
      1 おかし	た
      1 お	問合せ
      1 える	文化
      1 え	なく
      1 う	AFPBB
      1 いる	自分
      1 いる	写真
      1 いる	モト
      1 いる	の
      1 いる	こう
      1 いとこ	の
      1 いっ	た
      1 いう	多く
      1 い	ませ
      1 い	ます
      1 い	た
      1 ある	女性
      1 ありふれ	て
      1 あり	ませ
      1 style	Submit
      1 stories	タイ
      1 marie	claire
      1 iOS	App
      1 claire	style
      1 amid	Karzai
      1 __________________________________	ニュース
      1 WATCH	CLUB
      1 WAA	marie
      1 Video	Focus
      1 Top	stories
      1 Taliban	時代
      1 Submit	__________________________________
      1 Submit	
      1 Sports	サッカー
      1 Special	PR
      1 Sinclair	社会
      1 SPECIAL	2018
      1 SHAH	Marai
      1 SERVICES	プレス
      1 RSS	SERVICES
      1 Popular	News
      1 Photo	ベストショット
      1 PR	AFPBB
      1 Oxfam	が
      1 OTHER	iOS
      1 News	政治
      1 News	国際
      1 News	に
      1 News	Latest
      1 News	ABOUT
      1 NGO	オックスファム
      1 Motley	氏
      1 Marai	12
      1 Latest	Popular
      1 Kimberley	Motley
      1 Karzai	大統領
      1 Kabul	の
      1 Kabul	で
      1 Joe	Sinclair
      1 JavaScript	の
      1 JavaScript	が
      1 INFO	サイト
      1 H	amid
      1 Gulnaz	さん
      1 Focus	記者
      1 Fashion	スタイル
      1 ENGINE	WATCH
      1 CONTACT	お
      1 CLUB	SPECIAL
      1 CIS	中国
      1 Area	ヨーロッパ
      1 App	RSS
      1 App	Android
      1 Android	App
      1 AFP	アフガニスタン
      1 AFP	WAA
      1 AFP	SHAH
      1 AFP	Joe
      1 ABOUT	写真
      1 87	が
      1 5	日
      1 5	年
      1 41	発信
      1 21	歳
      1 2019	AFP
      1 2018	2019
      1 20	21
      1 2	週間
      1 2	年間
      1 14	41
      1 13	日
      1 10	月
      1 10	年
      1 1	日
